ProbeID,GeneSymbol,EntrezID,logFC,AveExpr,t,PValue,adjPVal,B,ProbeID1,logFC1,AveExpr1,t1,PValue1,adjPVal1
219945_at,DDX25,29118,-0.42761071,4.137121991,-3.77179195,0.000380105,0.301678498,-0.126937819,219945_at,-0.144237307,4.137121991,-1.040299835,0.302572803,0.999925658
212122_at,RHOQ,23433,0.434948446,3.395969625,3.770278313,0.000381962,0.301678498,-0.130777899,212122_at,0.403561892,3.395969625,3.173191127,0.00242523,0.999925658
226656_at,CRTAP,10491,0.597815884,5.413006455,3.755971077,0.000399945,0.301678498,-0.167034034,226656_at,0.394767646,5.413006455,2.107180842,0.039492688,0.999925658
204423_at,MKLN1,4289,0.237876266,2.544436671,3.75578092,0.000400189,0.301678498,-0.167515409,204423_at,0.128502731,2.544436671,1.689046551,0.096648739,0.999925658
219697_at,HS3ST2,9956,-0.558897782,4.132575593,-3.747314941,0.000411216,0.301678498,-0.18893335,219697_at,-0.223286579,4.132575593,-1.253561057,0.215095127,0.999925658
229157_at,PRKAG2-AS1,100505483,-0.6329868,2.811783478,-3.747117784,0.000411476,0.301678498,-0.189431821,229157_at,0.013242474,2.811783478,0.063830262,0.949327662,0.999925658
225667_s_at,FAM84A,151354,-1.145723234,4.729707924,-3.739885661,0.000421131,0.301678498,-0.207706892,225667_s_at,-0.152332807,4.729707924,-0.406740032,0.685715088,0.999925658
219042_at,LZTS1,11178,-0.316982629,3.06955444,-3.737082862,0.000424931,0.301678498,-0.214784191,219042_at,0.016351867,3.06955444,0.157533535,0.87537851,0.999925658
213172_at,TTC9,23508,-0.522675316,3.651489631,-3.725736997,0.000440651,0.301678498,-0.243403779,213172_at,-0.056094508,3.651489631,-0.331249433,0.741665171,0.999925658
224735_at,CYB561A3,220002,0.278663327,3.238464669,3.720515371,0.000448072,0.301678498,-0.256559136,224735_at,0.120827515,3.238464669,1.336477156,0.186679216,0.999925658
220030_at,STYK1,55359,-0.286156589,2.807517524,-3.718300025,0.000451256,0.301678498,-0.262137411,220030_at,-0.115446007,2.807517524,-1.243542426,0.218734616,0.999925658
217028_at,CXCR4,7852,1.162049182,4.325508675,3.710990713,0.000461917,0.301678498,-0.280529403,217028_at,0.337033945,4.325508675,0.859563127,0.393613876,0.999925658
