match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,23,0,0,1,2,0-0,4,1,0,,2,1,ND,4w,6s#,,4w,6s#,0,0,4w,6s#,0,1,0,1,4w,6,s#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s,s,s,1,2,1,15-0,0,1,2,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,24,0,0,1,2,15-0,4,1,0,,2,1,ND,5n,6f#,,5n,6f#,0,0,5n,6f#,0,1,0,1,5n,6,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,2,1,30-0,0,1,2,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,25,0,0,1,2,30-0,4,1,0,,2,1,ND,6b39b3f1f2n@,,,6b39b3f1f2n@,,0,,6b39b3f1f2n@,,1,,1,0,6,,b39b3f1f2n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b39b3f1f2n,b39b3f1f2,bbff,4,1,0,30-15,0,1,2,0,0,0,,,4
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,26,0,0,1,2,30-15,4,1,0,,2,1,ND,4b38b3b2f1f3b2d@,,,4b38b3b2f1f3b2d@,,0,,4b38b3b2f1f3b2d@,,1,,1,0,4,,b38b3b2f1f3b2d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b38b3b2f1f3b2d,b38b3b2f1f3b2,bbbffb,6,1,0,30-30,0,1,2,0,0,0,,,6
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,27,0,0,1,2,30-30,4,1,0,,2,1,ND,6*,,,6*,,0,,6*,,1,,0,0,6*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,40-30,0,1,2,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,28,0,0,1,2,40-30,4,1,0,,2,1,ND,4*,,,4*,,0,,4*,,1,,0,0,4*,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,GM,2,1,3,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,29,0,0,1,3,0-0,5,1,0,,1,2,RF,4w,4f#,,4w,4f#,0,0,4w,4f#,0,1,0,1,4w,4,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,1,1,15-0,0,1,3,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,30,0,0,1,3,15-0,5,1,0,,1,2,RF,4b38b2f1n@,,,4b38b2f1n@,,0,,4b38b2f1n@,,1,,1,0,4,,b38b2f1n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b38b2f1n,b38b2f1,bbf,3,1,1,30-0,0,1,3,0,0,0,,,3
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,31,0,0,1,3,30-0,5,1,0,,1,2,RF,6b28v3m2o1*,,,6b28v3m2o1*,,0,,6b28v3m2o1*,,1,,1,0,6,,b28v3m2o1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,b28v3m2o1,b28v3m2o1,bvmo,4,1,1,40-0,0,1,3,0,0,0,,,5
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,32,0,0,1,3,40-0,5,1,0,,1,2,RF,4w,5b29f3b1f2b1w@,,4w,5b29f3b1f2b1w@,0,0,4w,5b29f3b1f2b1w@,0,1,0,1,4w,5,b29f3b1f2b1w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b29f3b1f2b1w,b29f3b1f2b1,bfbfb,5,1,1,GM,1,2,3,0,0,0,,,5
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,33,0,0,2,3,0-0,6,1,0,,2,1,ND,4n,6b29b2d@,,4n,6b29b2d@,0,0,4n,6b29b2d@,0,1,0,1,4n,6,b29b2d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b29b2d,b29b2,bb,2,1,0,0-15,0,2,3,0,0,0,,,2
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,34,0,0,2,3,0-15,6,1,0,,2,1,ND,6f29b3b2b3n@,,,6f29b3b2b3n@,,0,,6f29b3b2b3n@,,1,,1,0,6,,f29b3b2b3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f29b3b2b3n,f29b3b2b3,fbbb,4,1,0,0-30,0,2,3,0,0,0,,,4
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,35,0,0,2,3,0-30,6,1,0,,2,1,ND,4f19f1f3b3s2s3s3b2b3b3f1f1f2b3b3n@,,,4f19f1f3b3s2s3s3b2b3b3f1f1f2b3b3n@,,0,,4f19f1f3b3s2s3s3b2b3b3f1f1f2b3b3n@,,1,,1,0,4,,f19f1f3b3s2s3s3b2b3b3f1f1f2b3b3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f19f1f3b3s2s3s3b2b3b3f1f1f2b3b3n,f19f1f3b3s2s3s3b2b3b3f1f1f2b3b3,fffbsssbbbfffbb,15,2,1,15-30,0,2,3,0,0,0,,,15
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,36,0,0,2,3,15-30,6,1,0,,2,1,ND,6f17f+1f1f3*,,,6f17f+1f1f3*,,0,,6f17f+1f1f3*,,1,,1,0,6,,f17f+1f1f3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f17f1f1f3,f17f1f1f3,ffff,4,2,1,30-30,0,2,3,0,0,0,,,5
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,37,0,0,2,3,30-30,6,1,0,,2,1,ND,4f#,,,4f#,,0,,4f#,,1,,1,0,4,,f#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f,f,f,1,2,1,40-30,0,2,3,0,0,0,,,1
