"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"MSBB","Ant Cingulate","Microarray","AD-NCI","GRIN2A","-0.680285049519232","1.22259680281372","0.0420836973314406","0.0598967415861135"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","GRIN2A","-0.728241244848484","1.22259680281372","0.0431256539420017","0.0598967415861135"
"MSBB","OVC","Microarray","AD-NCI","GRIN2A","0.2620434","1.17954974194716","0.0502647874383337","0.0661378782083338"
"MSBB","Posterior Cingulate Cortex","Microarray","AD-NCI","GRIN2A","-0.74900409285714","1.14774824437673","0.0569300732514797","0.0711625915643496"
"MSBB","Hippocampus","Microarray","AD-NCI","GRIN2A","-0.82346445119048","0.919829117686519","0.103294988111726","0.120273758396732"
"MSBB","Superior Parietal Lobule","Microarray","AD-NCI","GRIN2A","-0.585618259340661","0.919829117686519","0.105840907389124","0.120273758396732"
"MSBB","Precentral Gyrus","Microarray","AD-NCI","GRIN2A","-0.528931428571428","0.820754886764374","0.139005806102154","0.151093267502341"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","HTR5A","-0.859170850197887","4.81045806968506","3.0943677488571e-07","1.54718387442855e-05"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","HTR5A","-0.767101535915504","3.95190721978884","4.46840749440761e-06","0.00011171018736019"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","HTR5A","-0.622779824572713","3.5407059104716","1.15173902058119e-05","0.000287934755145297"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","HTR5A","-0.503144806621626","1.63970045101445","0.00183395863525328","0.022924482940666"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","HTR5A","-0.309001836689891","1.00577088663965","0.0118415992513399","0.0986799937611658"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","HTR5A","-0.037349237510675","1.00577088663965","0.013659071740146","0.0986799937611658"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","HTR6","-0.593125741225016","2.37563552029029","5.61439826054422e-05","0.00421079869540817"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","HTR6","-0.309625374878952","1.19198741008517","0.00257082539474556","0.064270634868639"
