"Entity.1","Entity.2","source","target"
"SERPINB2","SERPINE1",52,40
"SERPINB2","PLAT",52,46
"SERPINB2","PLAUR",52,49
"GGCX","PROS1",53,73
"GGCX","F7",53,11
"GGCX","F10",53,22
"GGCX","F2",53,30
"GGCX","F9",53,37
"GGCX","PROC",53,43
"ZFHX3","FGA",54,72
"ZFHX3","FGB",54,3
"ZFHX3","FGG",54,4
"ZFHX3","F10",54,22
"ZFHX3","F2",54,30
"ZFHX3","F11",54,34
"ZFHX3","F9",54,37
"GP1BB","F12",55,77
"GP1BB","F2",55,30
"GP1BB","F11",55,34
"GP1BB","F9",55,37
"GP1BB","VWF",55,48
"PF4V1","F2",56,30
"PF4V1","THBD",56,39
"PF4V1","PROC",56,43
