"Entity.1","Entity.2","source","target"
"GRIN2B","ATP1A3",17,105
"GRIN2B","SPTBN1",17,52
"GRIN2B","MYH10",17,53
"GRIN2B","DLGAP1",17,33
"GRIN2B","NSF",17,1
"GRIN2B","CTTN",17,3
"GRIN2B","PRKCG",17,38
"GRIN2B","DLG1",17,39
"GRIN2B","ATP6V0D1",17,55
"GRIN2B","LGI1",17,109
"GRIN2B","GRIN2A",17,7
"GRIN2B","DLG2",17,47
"GRIN2B","VDAC2",17,56
"GRIN2B","FUS",17,9
"GRIN2B","PPP3CA",17,49
"GRIN2B","CTNNB1",17,11
"GRIN2B","SYT1",17,13
"GRIN2B","CAMK2A",17,14
"GRIN2B","SNAP25",17,15
"GRIN2B","STXBP1",17,16
"BSN","GRIN2B",64,17
"SLC1A2","GRIN2B",23,17
"CAMK2B","CAMK2A",19,14
"CAMK2B","GRIN2B",19,17
"GAP43","GRIN2B",65,17
"DNM1","PFN2",20,103
"DNM1","SH3GL2",20,25
"DNM1","GRIN2B",20,17
"GRIN2A","DLG1",7,39
"MAGI2","GRM5",45,73
"MAGI2","NLGN1",45,26
"MAGI2","DLGAP1",45,33
"MAGI2","GRIN2A",45,7
"DLG2","DLGAP1",47,33
"DLG2","GRIN2A",47,7
"CTNNB1","MAGI2",11,45
"SH3GL2","AMPH",25,27
"CAMK2A","GRIN2A",14,7
"GRIN2B","GRIN2A",17,7
"GRIN2B","DLG2",17,47
"BSN","ABI1",64,4
"DNM1","SH3GL2",20,25
"DNM1","SNAP25",20,15
"NRXN1","NLGN3",31,85
"NRXN3","NLGN3",32,85
"NLGN1","NRXN1",26,31
"NLGN1","NRXN3",26,32
"DLG1","LIN7C",39,90
"DLG1","DLGAP1",39,33
"MAGI2","NLGN1",45,26
"MAGI2","DLGAP1",45,33
"DLG2","NLGN1",47,26
"GRIA2","NSF",8,1
"SYT1","NRXN1",13,31
"SYT1","CACNA1C",13,110
"SYT1","STX1B",13,72
"CAMK2A","CDK5R1",14,78
"SNAP25","STXBP5",15,111
"SNAP25","STX1B",15,72
"SNAP25","TRIM9",15,57
"SNAP25","SYT1",15,13
"STXBP1","STX1B",16,72
"GRIN2B","CAMK2A",17,14
"DNM1","PACSIN1",20,83
"DNM1","AMPH",20,27
"CTNNB1","APC",11,6
"DLG1","KCNA2",39,87
"PPP3CA","CPEB4",49,112
"USP14","NSF",66,1
"DLG1","LIN7C",39,90
"DLG1","DLGAP1",39,33
"GRIA3","NSF",42,1
"GRIA2","NSF",8,1
"SYT1","CACNA1B",13,106
"SNAP25","STXBP5",15,111
"BSN","PCLO",64,107
"DNM1","AMPH",20,27
"DNM1","SH3GL2",20,25
"DLG1","LIN7C",39,90
"DLG2","DLG1",47,39
"CTNNB1","APC",11,6
"CTNNB1","MAGI2",11,45
"SNAP25","CACNA1C",15,110
"ATP2B2","VPS35",67,77
