"id","group","n","a","fc","log10_exp","log10_IGAP"
"HTR2A","1",0.902679830747532,0.0169252468265162,-1.13124330193677,2.20286012264626,0
"CYFIP2","1",0.55197631899704,0.324046665505833,-1.16455214559568,2.3432384626867,0
"NRXN1","1",0.450654582074522,0.423464249748238,-1.3004890766488,1.87605880964009,2.5162045197858
"NRXN3","1",0.853548966756514,0.00778676250374364,-1.15298293863188,4.2180041744513,0
"DLGAP1","1",0.752388535031847,0.0561305732484076,-1.17703922911118,2.62839749910082,0
"ANK2","2",0.448248676652776,0.372677103277396,-1.15645083242006,0.51119559027637,0
"KCNA1","2",0.546448087431694,0.0355191256830601,1.20188482790074,0.396580840651356,0
"WDR7","2",0.485387547649301,0.14002541296061,-1.13321864101733,1.10647733649646,0
"CYFIP1","2",0.0271336951159349,0.0796743956586088,1,0,0
"PRKCG","1",0,0,-1.58345441543204,5.32561633449342,0
"DLG1","2",0.176342381612839,0.106796116504854,-1.00802458288268,1.24205377692081e-13,0
"NRCAM","2",0.392827239743232,0.472788166341055,-1.30448902404913,1.20159027081227,0
"FXR1","2",0.283199387677,0.203597397627248,-1.05474770674592,0.0492931988930928,0
"GRIA3","1",0.776753283039955,0.0203967588711931,-1.09083449886606,2.37204790589274,0
"RTN4","2",0.356141866689145,0.120666765009588,-1.13370714114317,1.18991646776134,0
"MARCKS","2",0.163560289083302,0.184607582097122,1,0,0
"MAGI2","1",0.32059186189889,0.365803534730785,-1.20931549834523,1.54566801489274,0
"GLRB","1",0.726832222895215,0.0932768019382193,-1.16710967943154,1.49429343860153,0
"DLG2","2",0.571720265441552,0.0595541943168283,-1.00824299735647,1.08042000936415,2.18255759879673
"ADAM10","2",0.148377629218979,0.126854720365237,1.02021188679787,0.2170197327049,0
"PPP3CA","1",0.535158680771624,0.165940676208256,-1.09873025355041,1.73533825674984,0
"CPE","2",0.112332142116625,0.818561026479162,-1.38783158101672,1.24205377692081e-13,0
"KIF5A","1",0.137007154818085,0.0443497234485208,1.17683629766719,2.05478183224803,0
"SPTBN1","2",0,0,-1.03187367393609,0.325825318480817,0
"MYH10","1",0,0,-1.2495891903039,4.46053191742707,0
"MPDZ","2",0.378188214599824,0.229258282028731,-1.05543758842422,0.0814083004275051,0
"ATP6V0D1","1",0.150771388499299,0.225105189340813,-1.32004537474374,2.50252200381491,0
"VDAC2","1",0.374413385023465,0.204448071822077,-1.19336115416581,1.81769162365642,0
"TRIM9","1",0.446088321004259,0.338713292983636,-1.39602891467147,3.25127094700557,0
"MAP1B","1",0,0,-1.26503772197735,1.53538072552874,0
"RAPGEF4","2",0.180031309793007,0.0415724473821534,-1.09470255400737,0.421483034295159,0
"GABRB1","1",0.351966873706004,0.602484472049689,-1.74538660791039,2.34930838495917,0
"GABRB3","1",0.820739362938851,0.08300395256917,-1.0845859314021,1.60072385099689,0
"CLSTN1","1",0.465244575211475,0.27877896285399,-1.22784035375583,2.99245103236085,0
"GABRG2","1",0.965411862758717,0.00277816363383803,-1.24260246716106,2.43001287138289,0
"BSN","1",0.725075528700906,0.0604229607250755,-1.11109251911049,2.11910317033461,0
"GAP43","1",0.674931129476584,0.054178145087236,-1.23734419314114,4.1624449270982,0
"USP14","1",0.31493145609485,0.17339755464987,-1.15895782563885,1.81986212381852,0
"ATP2B2","1",0.716382853787434,0.163241338813858,-1.20000227114479,2.79470644555116,0
"GABRA4","2",0.745967741935484,0.207661290322581,-1.14844991612827,1.26861054051022,0
"CDH8","1",0.808510638297872,0.0156028368794326,-1.12457355868358,3.33323372001385,0
"AGRN","1",0.0694444444444444,0.0972222222222222,-1.18216822516098,1.74853317531757,0
"LRP6","2",0.20125786163522,0.281761006289308,-1.01467313472772,0.564387519616282,0
"STX1B","1",0.418604651162791,0.125581395348837,-1.2943447768689,3.30345117927807,0
"GRM5","1",0.821782178217822,0.0168316831683168,-1.02716746029925,1.33708916232892,0
"AAK1","2",0.583259127337489,0.103739982190561,-1.19646144610386,0.69228687523896,0
"OLFM1","1",0.636393053608025,0.141894078308705,-1.19850199402199,3.60319617523685,0
"SPG20","2",0,0,-1.00139439320276,1.24205377692081e-13,0
"VPS35","1",0.40373145740939,0.178008869857776,-1.22078691448066,2.94955266095664,0
"CDK5R1","1",0.820338983050847,0.055593220338983,-1.06186355018994,1.82726814354251,0
"ANKS1B","1",0,0,-1.17927468297952,2.7369919448637,0
"CPLX2","1",0.846007604562738,0.0256653992395437,-1.05766994193131,2.68178902640701,0
"DCLK1","1",0.850967007963595,0.0186575654152446,-1.17753841592082,2.43892769600865,0
"AKAP1","2",0.285714285714286,0.343697478991597,-1.13983577918226,0.417107505017798,0
"PACSIN1","1",0.384615384615385,0.0934065934065934,-1.30337253730572,3.89507386971803,0
"SYT7","1",0.465116279069767,0.0465116279069768,-1.1358072861928,2.08000895264271,0
"NLGN3","2",0.117899249732047,0.506609503394069,-1.20029307798536,1.24205377692081e-13,0
"TANC1","1",0.0462249614791988,0.117103235747304,1.10601883255363,2.01727633931762,0
"KCNA2","2",0.429698918444899,0.43466822566501,-1.10996504942611,1.24205377692081e-13,0
"DMXL2","1",0.48773987206823,0.224147121535181,-1.23456826285529,2.05916070677309,0
"SDC2","2",0.130890052356021,0.748929081389814,-1.24436187713362,0.192091687036681,2.39967412971804
"LIN7C","2",0.313031643416128,0.292956788023137,-1.08312694780842,0.0105988221975988,0
"ENAH","1",0.305232558139535,0.304505813953488,1.05453411190069,1.89365676359551,0
"RAPGEF2","2",0.288461538461538,0.0949704142011834,-1.10252464649909,0.601106004776996,0
"DNM3","2",0.613652868554829,0.142701525054466,-1.08415570018594,1.19534579698012,0
"PKP4","2",0.10214206502072,0.0571995564116033,1.06948295150765,1.01440560532607,0
"NCOA2","2",0.396341463414634,0.24343339587242,-1.08426781349263,0.313891803009431,0
"CCK","1",0.959713844008609,0.00545636424262633,-1.14792501886494,2.60934436668495,0
"MAPK8IP2","1",0.307167235494881,0.136518771331058,-1.17311307462829,2.29697312953063,0
"SV2B","1",0.832298136645963,0.0149068322981366,-1.09803529607125,2.1498853733907,0
"ATP2A2","1",0.455764075067024,0.212215147453083,-1.27373096163307,3.08053976707843,0
"KCNB1","1",0.837817063797079,0.0407378939277479,-1.06288981947484,2.34293919208962,0
"SCAMP1","2",0.573463268365817,0.14167916041979,-1.05575835319194,0.61142827362911,0
"CAMK2N1","1",0.383707934931082,0.0980586944823875,-1.06775289045637,1.55618267647672,0
"PFN2","1",0.582097186700767,0.249923273657289,-1.29059006640777,3.45119513010788,0
"SYNE1","1",0.353805073431242,0.502670226969292,-1.30134086142855,2.08376803749736,0
"ATP1A3","1",0.677830940988836,0.0342902711323764,-1.24770641524466,2.47454331300785,0
"CACNA1B","1",0.8300395256917,0.0909090909090909,-1.16744135900116,2.48474862219331,0
"PCLO","2",0.879324003168735,0.0245576973857935,1.04264467263496,0.544928501455266,0
"CLSTN2","1",0.855365474339036,0.0171073094867807,-1.03362510849353,1.49418935775066,0
"LGI1","2",0.492841758520208,0.46826301786393,-1.11053544511055,1.24205377692081e-13,0
"CACNA1C","1",0.642458100558659,0.0949720670391062,-1.07402025390164,2.10420556029118,0
"STXBP5","1",0.525557955363571,0.24910007199424,-1.25068890183445,2.0456741995421,0
"CPEB4","2",0.272587004971713,0.282358991942397,-1.01219389908091,0.252216149096647,0
