"Entity.1","Entity.2","source","target"
"GSK3B","AKT3",99,175
"GSK3B","AKT2",99,62
"GSK3B","ARRB1",99,64
"GSK3B","PTK2",99,69
"GSK3B","PRKCB",99,20
"GSK3B","PXN",99,82
"GSK3B","PRKCZ",99,85
"GSK3B","PRKACA",99,86
"GSK3B","PIK3R1",99,28
"GSK3B","IKBKG",99,32
"GSK3B","RELA",99,33
"AKT1","PREX1",35,167
"AKT1","BRAF",35,145
"AKT1","AKT2",35,62
"AKT1","NCF1",35,173
"AKT1","ARRB1",35,64
"AKT1","FOXO3",35,171
"AKT1","IKBKB",35,70
"AKT1","GSK3A",35,81
"AKT1","PRKCZ",35,85
"AKT1","STAT1",35,89
"AKT1","CHUK",35,24
"AKT1","PIK3CA",35,91
"AKT1","CSK",35,92
"AKT1","RAF1",35,27
"AKT1","PAK1",35,93
"AKT1","PIK3R1",35,28
"AKT1","GSK3B",35,99
"MAPK1","PLCB1",36,169
"MAPK1","BRAF",36,145
"MAPK1","ARRB1",36,64
"MAPK1","STAT5B",36,65
"MAPK1","FOXO3",36,171
"MAPK1","SOS1",36,71
"MAPK1","KRAS",36,73
"MAPK1","CRKL",36,78
"MAPK1","PXN",36,82
"MAPK1","PRKCZ",36,85
"MAPK1","VAV1",36,90
"MAPK1","MAP2K1",36,26
"MAPK1","RAF1",36,27
"MAPK1","PAK1",36,93
